,BidPrice-I-XCHNG,BidVolume-I-XCHNG,AskPrice-I-XCHNG,AskVolume-I-XCHNG,BidPrice-Z-XCHNG,BidVolume-Z-XCHNG,AskPrice-Z-XCHNG,AskVolume-Z-XCHNG
2018-01-01 00:05:00,56.150000000000006,120.0,56.35,120.0,56.0,40.0,56.5,40.0
2018-01-01 00:10:00,56.050000000000004,117.0,56.25,103.0,55.95,38.0,56.45,33.0
2018-01-01 00:15:00,56.1,101.0,56.300000000000004,111.0,56.1,36.0,56.550000000000004,31.0
2018-01-01 00:20:00,56.150000000000006,100.0,56.300000000000004,116.0,56.1,35.0,56.6,34.0
2018-01-01 00:25:00,56.150000000000006,95.0,56.35,119.0,56.1,36.0,56.6,34.0
2018-01-01 00:30:00,56.1,99.0,56.300000000000004,113.0,56.1,32.0,56.550000000000004,40.0
2018-01-01 00:35:00,56.2,111.0,56.400000000000006,110.0,56.150000000000006,33.0,56.6,39.0
2018-01-01 00:40:00,56.2,106.0,56.35,130.0,56.2,36.0,56.7,37.0
2018-01-01 00:45:00,56.150000000000006,113.0,56.35,124.0,56.050000000000004,38.0,56.550000000000004,41.0
2018-01-01 00:50:00,56.2,104.0,56.400000000000006,117.0,56.150000000000006,33.0,56.650000000000006,36.0
2018-01-01 00:55:00,56.25,107.0,56.400000000000006,124.0,56.150000000000006,36.0,56.650000000000006,41.0
2018-01-01 01:00:00,56.300000000000004,119.0,56.5,141.0,56.150000000000006,42.0,56.650000000000006,43.0
2018-01-01 01:05:00,56.150000000000006,122.0,56.35,130.0,56.0,39.0,56.550000000000004,42.0
2018-01-01 01:10:00,56.2,139.0,56.400000000000006,121.0,56.050000000000004,41.0,56.6,42.0
2018-01-01 01:15:00,56.35,126.0,56.6,117.0,56.1,38.0,56.650000000000006,39.0
2018-01-01 01:20:00,56.35,117.0,56.550000000000004,102.0,55.900000000000006,36.0,56.45,31.0
2018-01-01 01:25:00,56.300000000000004,114.0,56.5,99.0,55.800000000000004,35.0,56.35,29.0
2018-01-01 01:30:00,56.300000000000004,115.0,56.5,102.0,55.650000000000006,39.0,56.25,27.0
2018-01-01 01:35:00,56.25,132.0,56.5,103.0,55.7,39.0,56.300000000000004,32.0
2018-01-01 01:40:00,56.300000000000004,123.0,56.5,115.0,55.800000000000004,40.0,56.300000000000004,35.0
2018-01-01 01:45:00,56.300000000000004,119.0,56.5,127.0,55.800000000000004,44.0,56.300000000000004,36.0
2018-01-01 01:50:00,56.400000000000006,121.0,56.6,135.0,55.85,42.0,56.400000000000006,41.0
2018-01-01 01:55:00,56.35,118.0,56.5,143.0,55.85,41.0,56.35,40.0
2018-01-01 02:00:00,56.25,115.0,56.45,136.0,55.95,41.0,56.400000000000006,37.0
2018-01-01 02:05:00,56.2,118.0,56.400000000000006,110.0,55.95,42.0,56.400000000000006,32.0
2018-01-01 02:10:00,56.2,110.0,56.400000000000006,109.0,56.0,36.0,56.45,29.0
2018-01-01 02:15:00,56.1,128.0,56.300000000000004,109.0,56.050000000000004,42.0,56.5,31.0
2018-01-01 02:20:00,56.0,121.0,56.2,94.0,56.0,39.0,56.45,31.0
2018-01-01 02:25:00,56.1,112.0,56.300000000000004,94.0,56.050000000000004,40.0,56.5,30.0
2018-01-01 02:30:00,56.0,127.0,56.150000000000006,114.0,55.900000000000006,43.0,56.35,38.0
2018-01-01 02:35:00,56.050000000000004,141.0,56.2,131.0,55.900000000000006,49.0,56.300000000000004,47.0
2018-01-01 02:40:00,56.1,115.0,56.25,132.0,55.800000000000004,44.0,56.25,45.0
2018-01-01 02:45:00,56.1,113.0,56.25,132.0,56.0,39.0,56.45,44.0
